// Item Trade Restrictions Database
// Defines special trade rules for individual items.
//
// Structure of Database:
// Item ID, TradeMask,Group Level Override
//
// Legend for 'TradeMask' field (bitmask):
// 1   - item can't be dropped
// 2   - item can't be traded (nor vended)
// 4   - wedded partner can override restriction 2
// 8   - item can't be sold to npcs
// 16  - item can't be placed in the cart
// 32  - item can't be placed in the storage
// 64  - item can't be placed in the guild storage
// 128 - item can't be attached to mail
// 256 - item can't be auctioned
//
// Example:
// 1161,67,50
//	Balmung cannot be dropped, traded, or placed in Guild Storage (1+2+64).
//	Only groups of group-level 50 and up can override this setting.

// Old Blue Box Items - Cannot be dropped, traded, or auctioned but can be stored
711,259,100  // Shoot
712,259,100  // Flower
713,259,100  // Empty Bottle
715,259,100  // Yellow Gemstone
716,259,100  // Red Gemstone
717,259,100  // Blue Gemstone
718,259,100  // Garnet
719,259,100  // Amethyst
720,259,100  // Aquamarine
721,259,100  // Emerald
722,259,100  // Pearl
723,259,100  // Ruby
724,259,100  // Cursed Ruby
725,259,100  // Sardonyx
726,259,100  // Sapphire
727,259,100  // Opal
728,259,100  // Topaz
729,259,100  // Zircon
730,259,100  // 1carat Diamond
731,259,100  // 2carat Diamond
732,259,100  // 3carat Diamond
733,259,100  // Cracked Diamond
734,259,100  // Red Frame
735,259,100  // Chung Jah
736,259,100  // China
737,259,100  // Black Ladle
738,259,100  // Pencil Case
739,259,100  // Rouge
740,259,100  // Puppet
741,259,100  // Poring Doll
742,259,100  // Chonchon Doll
743,259,100  // Spore Doll
744,259,100  // Bouquet
745,259,100  // Wedding Bouquet
746,259,100  // Glass Bead
747,259,100  // Crystal Mirror
748,259,100  // Witherless Rose
749,259,100  // Frozen Rose
750,259,100  // Baphomet Doll
751,259,100  // Osiris Doll
752,259,100  // Grasshopper Doll
753,259,100  // Yoyo Doll
754,259,100  // Raccoon Doll
901,259,100  // Danggie
902,259,100  // Tree Root
903,259,100  // Reptile Tongue
904,259,100  // Scorpion Tail
905,259,100  // Stem
906,259,100  // Pointed Scale
907,259,100  // Resin
908,259,100  // Spawn
909,259,100  // Jellopy
910,259,100  // Garlet
911,259,100  // Scell
912,259,100  // Zargon
913,259,100  // Tooth of Bat
914,259,100  // Fluff
915,259,100  // Chrysalis
916,259,100  // Feather of Birds
917,259,100  // Talon
918,259,100  // Sticky Webfoot
919,259,100  // Animal Skin
920,259,100  // Wolf Claw
921,259,100  // Mushroom Spore
922,259,100  // Orc's Fang
923,259,100  // Evil Horn
924,259,100  // Powder of Butterfly
925,259,100  // Bill of Birds
926,259,100  // Snake Scale
928,259,100  // Insect Feeler
929,259,100  // Immortal Heart
930,259,100  // Rotten Bandage
931,259,100  // Orcish Voucher
932,259,100  // Skel-Bone
934,259,100  // Memento
935,259,100  // Shell
936,259,100  // Scale Shell
937,259,100  // Venom Canine
938,259,100  // Sticky Mucus
939,259,100  // Bee Sting
940,259,100  // Grasshopper's Leg
941,259,100  // Nose Ring
942,259,100  // Yoyo Tail
943,259,100  // Solid Shell

// OBB Items - Cannot be dropped or traded
5132,3,100  // Angeling Hat
5781,3,100  // Persica
5302,3,100  // Lotus Flower Hat
5303,3,100  // Flower Wreath
5325,3,100  // Robo Eye
5332,3,100  // Loki Mask
5337,3,100  // Party Recruiter Hat
5339,3,100  // Friend Recruiter Hat
5353,3,100  // Hat of the Sun God
5361,3,100  // Gang's Scarf
5372,3,100  // Koneko Hat
5375,3,100  // Orc Hero Headdress
5383,3,100  // Hunting Cap
5387,3,100  // Neko Mimi Kafra Band
5389,3,100  // Angel Spirit
5200,3,100  // Coppola
5209,3,100  // Yellow Baseball
5278,3,100  // Yellow Ribbon
5283,3,100  // Chick Hat
5287,3,100  // Vacation Hat
5100,3,100  // Sales Banner
5171,3,100  // Valkyrie Helm
5179,3,100  // Gold Tiara
5147,3,100  // Baseball Cap

